"Date","Original","Log","DiffLog"
Apr 2005,104.52,4.64937844065241,0.0270561958467548
May 2005,105.11,4.65500742083526,0.00562898018285107
Jun 2005,103.9,4.64342889810518,-0.0115785227300815
Jul 2005,107.45,4.67702562308852,0.0335967249833384
Aug 2005,104.52,4.64937844065241,-0.027647182436108
Sep 2005,107.94,4.6815755171905,0.0321970765380852
Oct 2005,106.45,4.66767539133949,-0.0139001258510083
Nov 2005,109.18,4.69299789635361,0.025322505014123
Dec 2005,105.42,4.65795237142706,-0.0350455249265513
Jan 2006,109.03,4.69162307371829,0.0336707022912295
Feb 2006,107.28,4.67544223897342,-0.0161808347448673
Mar 2006,108.15,4.68351915239907,0.00807691342564532
Apr 2006,108.4,4.68582808900555,0.00230893660647791
May 2006,109.76,4.69829616397758,0.0124680749720296
Jun 2006,118.61,4.77584080004118,0.0775446360636085
Jul 2006,112.11,4.7194805321655,-0.0563602678756823
Aug 2006,108.85,4.68997078768056,-0.0295097444849457
Sep 2006,108.19,4.68388894069948,-0.00608184698107372
Oct 2006,106.48,4.66795717408686,-0.015931766612626
Nov 2006,105.05,4.65443642729101,-0.0135207467958471
Dec 2006,112.5,4.72295322164447,0.0685167943534655
Jan 2007,109.56,4.69647234439488,-0.0264808772495977
Feb 2007,112.42,4.72224185757393,0.0257695131790516
Mar 2007,115.84,4.75220992863741,0.029968071063478
Apr 2007,119.72,4.7851556829845,0.0329457543470912
May 2007,118.09,4.77144704561319,-0.013708637371308
Jun 2007,119.7,4.78498861256393,0.0135415669507379
Jul 2007,115.91,4.75281402790065,-0.0321745846632746
Aug 2007,113.88,4.73514526240984,-0.0176687654908161
Sep 2007,120.58,4.79231343306126,0.0571681706514227
Oct 2007,124.75,4.82631173463163,0.0339983015703682
Nov 2007,124.19,4.82181265095994,-0.0044990836716865
Dec 2007,118.35,4.77364633595999,-0.0481663149999489
Jan 2008,118.81,4.7775255784702,0.00387924251020344
Feb 2008,115.73,4.75125989185999,-0.02626568661021
Mar 2008,112.11,4.7194805321655,-0.0317793596944842
Apr 2008,107.33,4.67590820049343,-0.0435723316720686
May 2008,113.79,4.73435464436892,0.0584464438754839
Jun 2008,101.6,4.62104353514438,-0.113311109224536
Jul 2008,111.53,4.71429361300645,0.0932500778620637
Aug 2008,113.19,4.72906782264433,0.0147742096378831
Sep 2008,110.37,4.70383835778479,-0.0252294648595353
Oct 2008,112.52,4.72313098362166,0.0192926258368633
Nov 2008,109.29,4.69400489968858,-0.0291260839330745
Dec 2008,120.49,4.79156676193518,0.0975618622466028
Jan 2009,112.76,4.72526166624591,-0.0663050956892732
Feb 2009,115.39,4.74831769520658,0.0230560289606645
Mar 2009,114.42,4.73987588884038,-0.00844180636619285
Apr 2009,114.45,4.74013804639858,0.000262157558192477
May 2009,114.32,4.73900153362161,-0.00113651277696381
Jun 2009,114.85,4.74362692913511,0.00462539551349561
Jul 2009,115.97,4.75333153696861,0.00970460783350457
Aug 2009,117.92,4.77000642844103,0.0166748914724142
Sep 2009,119.86,4.78632439503004,0.0163179665890132
Oct 2009,114.4,4.7397010789457,-0.0466233160843421
Nov 2009,116.3,4.75617305952462,0.0164719805789213
Dec 2009,114.41,4.73978848771285,-0.0163845718117663
Jan 2010,114.62,4.74162230912359,0.00183382141073896
Feb 2010,114.77,4.74293012569258,0.00130781656898549
Mar 2010,115.21,4.74675655004996,0.00382642435738578
Apr 2010,121.88,4.80303695411751,0.0562804040675458
May 2010,114.89,4.74397514886527,-0.0590618052522345
Jun 2010,118.69,4.77651505206841,0.0325399032031397
Jul 2010,123.4,4.81543111147129,0.0389160594028741
Aug 2010,113.58,4.73250743444929,-0.0829236770220012
Sep 2010,115.5,4.74927052996185,0.0167630955125615
Oct 2010,118.24,4.77271645719989,0.0234459272380434
Nov 2010,119.78,4.78565672683632,0.0129402696364247
Dec 2010,126.47,4.84000512589189,0.0543483990555691
Jan 2011,119.66,4.78465438796189,-0.0553507379299996
Feb 2011,119.63,4.78440364618281,-0.00025074177907225
Mar 2011,119.5,4.78331637137157,-0.0010872748112476
Apr 2011,116.86,4.76097663712629,-0.0223397342452749
May 2011,118.94,4.77861916427845,0.017642527152157
Jun 2011,117.96,4.77034558394708,-0.00827358033137227
Jul 2011,122.34,4.80680405381442,0.0364584698673438
Aug 2011,124.91,4.82759347797782,0.0207894241633984
Sep 2011,123.05,4.81259077683707,-0.0150027011407525
Oct 2011,122.9,4.81137101657199,-0.00121976026507564
Nov 2011,122.19,4.80557721032843,-0.00579380624355874
Dec 2011,126.39,4.83937236465903,0.0337951543306039
Jan 2012,116.24,4.75565701926203,-0.0837153453970068
Feb 2012,122.46,4.80778444604981,0.0521274267877807
Mar 2012,132.2,4.88431592741759,0.0765314813677778
Apr 2012,118.98,4.77895541175976,-0.105360515657827
May 2012,121.57,4.8004902285677,0.021534816807943
Jun 2012,121.93,4.80344710957217,0.00295688100447133
Jul 2012,120.96,4.79545991243122,-0.00798719714095064
Aug 2012,121.51,4.79999656392052,0.00453665148929705
Sep 2012,129.78,4.86584070919302,0.0658441452725018
Oct 2012,126.03,4.8365199738494,-0.0293207353436218
Nov 2012,124.35,4.82310017024941,-0.0134198035999864
Dec 2012,117.64,4.76762911368579,-0.0554710565636194
Jan 2013,124.21,4.8219736815561,0.0543445678703076
Feb 2013,125.9,4.8354879410503,0.0135142594941993
Mar 2013,132.97,4.89012353886861,0.0546355978183133
Apr 2013,131.79,4.8812097466558,-0.00891379221281685
May 2013,130.5,4.87137322676275,-0.00983651989304946
Jun 2013,124.8,4.82671245593533,-0.0446607708274209
Jul 2013,128.01,4.85210838586802,0.0253959299326905
Aug 2013,127.67,4.84944880983226,-0.00265957603575817
Sep 2013,122.47,4.8078661020332,-0.0415827077990638
Oct 2013,124.05,4.82068471013781,0.012818608104614
Nov 2013,129.87,4.866533950122,0.0458492399841894
Dec 2013,125.07,4.82887358056082,-0.0376603695611841
Jan 2014,129.24,4.8616711409563,0.0327975603954824
Feb 2014,132.14,4.88386196660174,0.0221908256454419
Mar 2014,129.11,4.86066475418663,-0.0231972124151119
Apr 2014,129.09,4.86050983551862,-0.000154918668009429
May 2014,132.58,4.88718623681325,0.026676401294627
Jun 2014,136.45,4.91595824715435,0.0287720103411022
Jul 2014,134.2,4.89933122453758,-0.016627022616766
Aug 2014,128.01,4.85210838586802,-0.0472228386695637
Sep 2014,133.21,4.89192683036337,0.0398184444953538
Oct 2014,135.96,4.91236072482792,0.0204338944645439
Nov 2014,146.61,4.98777599995017,0.0754152751222579
Dec 2014,137.44,4.92318745823595,-0.0645885417142278
Jan 2015,138.68,4.93216912081682,0.00898166258087674
Feb 2015,132.8,4.88884423704233,-0.0433248837744884
Mar 2015,136.63,4.9172765423504,0.0284323053080628
Apr 2015,132.72,4.88824164588219,-0.0290348964682074
May 2015,132.41,4.88590316935167,-0.00233847653052432
Jun 2015,135.67,4.91022546649722,0.0243222971455523
Jul 2015,124.61,4.82518885995478,-0.0850366065424408
Aug 2015,127.32,4.84670360241389,0.0215147424591153
Sep 2015,124.14,4.82140996098551,-0.0252936414283855
Oct 2015,115.67,4.75074130930731,-0.0706686516781962
Nov 2015,119.22,4.78097052579178,0.0302292164844706
Dec 2015,128.22,4.85374753855911,0.0727770127673306
Jan 2016,124.59,4.82502834631077,-0.0287191922483396
Feb 2016,124.78,4.82655218668264,0.0015238403718687
Mar 2016,119.55,4.78373469390433,-0.0428174927783065
Apr 2016,133.29,4.89252720561593,0.108792511711592
May 2016,129.46,4.86337195311736,-0.0291552524985619
Jun 2016,118.84,4.77777805059441,-0.085593902522958
Jul 2016,136.28,4.91471159279277,0.136933542198359
Aug 2016,136.16,4.91383066482506,-0.000880927967701339
Sep 2016,137.28,4.92202263573965,0.0081919709145879
Oct 2016,136.19,4.91405096958087,-0.00797166615878631
Nov 2016,135.19,4.90668119637631,-0.00736977320455168
Dec 2016,132.51,4.88665811427654,-0.0200230820997698
Jan 2017,128.89,4.85895932741669,-0.0276987868598564
Feb 2017,133.19,4.89177668021294,0.0328173527962514
Mar 2017,133.01,4.8904243133652,-0.0013523668477351
Apr 2017,128.53,4.85616234012204,-0.0342619732431642
May 2017,125.04,4.82863368611322,-0.0275286540088189
Jun 2017,130.84,4.87397520267018,0.0453415165569622
Jul 2017,130.67,4.87267506100105,-0.00130014166912851
Aug 2017,131.72,4.88067845750816,0.00800339650710846
Sep 2017,130.23,4.86930211797961,-0.0113763395285513
Oct 2017,126.19,4.83778870766482,-0.0315134103147932
Nov 2017,126.73,4.84205883909397,0.00427013142915378
Dec 2017,123.78,4.81850579631122,-0.0235530427827575
Jan 2018,126.85,4.84300528604529,0.024499489734076
Feb 2018,119.17,4.78055104510271,-0.0624542409425768
Mar 2018,124.58,4.824948079826,0.0443970347232847
Apr 2018,128.51,4.85600672231905,0.0310586424930506
May 2018,126.51,4.84032135642658,-0.0156853658924714
Jun 2018,111.59,4.71483144019761,-0.125489916228968
Jul 2018,119.28,4.78147367045648,0.0666422302588732
Aug 2018,119.79,4.78574020974324,0.00426653928675602
Sep 2018,123.43,4.81567419375584,0.0299339840125983
Oct 2018,127.75,4.85007522908381,0.034401035327976
Nov 2018,121.22,4.79760707652314,-0.0524681525606745
Dec 2018,123.09,4.8129157951222,0.0153087185990657
Jan 2019,125.02,4.82847372450367,0.0155579293814618
Feb 2019,121.8,4.8023803552758,-0.02609336922787
Mar 2019,119.29,4.78155750329385,-0.0208228519819418
Apr 2019,122.87,4.81112688587948,0.0295693825856249
May 2019,123.8,4.8186673602505,0.0075404743710159
Jun 2019,121.78,4.80221613818043,-0.0164512220700681
Jul 2019,118.14,4.77187036187909,-0.0303457763013384
Aug 2019,115.53,4.74953023649493,-0.0223401253841624
Sep 2019,112.66,4.72437443346657,-0.0251558030283592
Oct 2019,114.27,4.73856406915862,0.0141896356920546
Nov 2019,111.77,4.71644318839752,-0.0221208807611024
Dec 2019,113.93,4.73558422471002,0.0191410363125044
Jan 2020,116.4,4.75703253529734,0.0214483105873136
Feb 2020,120.46,4.79131774761558,0.0342852123182373
Mar 2020,112.63,4.72410811005961,-0.0672096375559699
Apr 2020,113.96,4.73584750962971,0.0117393995701027
May 2020,112.8,4.72561633906396,-0.0102311705657492
Jun 2020,113.97,4.73593525586764,0.0103189168036852
Jul 2020,115.26,4.74719044600852,0.0112551901408766
Aug 2020,116.06,4.75410729876246,0.0069168527539416
Sep 2020,132.47,4.88635620469617,0.132248905933708
Oct 2020,122.52,4.80827428196457,-0.0780819227315961
Nov 2020,122.91,4.81145238022689,0.00317809826231485
Dec 2020,102.07,4.62565885241541,-0.185793527811482
Jan 2021,96.16,4.5660134707869,-0.0596453816285099
Feb 2021,94.25,4.54595082632812,-0.0200626444587773
Mar 2021,102.5,4.62986279857846,0.083911972250343
Apr 2021,97.03,4.57502020903721,-0.0548425895412548
May 2021,95.83,4.56257578835567,-0.0124444206815371
Jun 2021,97.01,4.57481406597319,0.0122382776175209
Jul 2021,101.56,4.62064975683648,0.0458356908632851
Aug 2021,101.69,4.62192896980305,0.00127921296656908
Sep 2021,100.6,4.61115225766564,-0.0107767121374076
Oct 2021,107.22,4.67488279839939,0.0637305407337525
Nov 2021,102.38,4.62869138102944,-0.046191417369954
Dec 2021,103.76,4.64208054000819,0.0133891589787511
Jan 2022,105.03,4.65424602363468,0.0121654836264957
Feb 2022,108.59,4.68757932222881,0.0333332985941253
Mar 2022,107.22,4.67488279839939,-0.0126965238294181
Apr 2022,105.74,4.6609832508073,-0.0138995475920876
May 2022,101.11,4.61620903310331,-0.0447742177039956
Jun 2022,108.9,4.69043002993891,0.0742209968356065
Jul 2022,110.82,4.7079072634392,0.0174772335002888
Aug 2022,110.72,4.70700449186936,-0.000902771569844418
Sep 2022,114.48,4.7404001352482,0.0333956433788369
Oct 2022,109.86,4.69920682791447,-0.0411933073337218
Nov 2022,108.38,4.68564357013797,-0.0135632577765064
Dec 2022,103.93,4.64371759560033,-0.0419259745376372
Jan 2023,101.56,4.62064975683648,-0.0230678387638532
Feb 2023,101.92,4.62418819182385,0.00353843498737572
Mar 2023,103.18,4.6364750358165,0.0122868439926513
Apr 2023,100.23,4.60746754503677,-0.0290074907797297
May 2023,101.91,4.6240900708406,0.0166225258038279
Jun 2023,105.01,4.6540555837179,0.0299655128772995
Jul 2023,100.59,4.61105284914625,-0.0430027345716555
Aug 2023,110.03,4.70075305588182,0.089700206735575
